#Release 11.3 - par L.57 (nt)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Sun Dec 13 16:14:05 2009

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       vga_control_map.ncd
#OUTPUT FILE:      vga_control_pad.csv
#PART TYPE:        xc3s700an
#SPEED GRADE:      -4
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,Sl_MRdErr<7>,IOB,IO_L36N_0/PUDC_B,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A3,Sl_wrDAck,IOB,IO_L33P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A4,PLB_masterID<2>,IBUF,IO_L31P_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
A5,VGA_B<3>,IOB,IO_L28N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A6,VGA_R<2>,IOB,IO_L26N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A7,VGA_B<1>,IOB,IO_L26P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A8,PLB_wrDBus<2>,IBUF,IO_L22N_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
A9,PLB_wrDBus<1>,IBUF,IO_L22P_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
A10,VGA_R<0>,IOB,IO_L21P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A11,PLB_BE<13>,IBUF,IO_L18N_0/GCLK7,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
A12,PLB_BE<9>,IBUF,IO_L18P_0/GCLK6,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
A13,PLB_size<0>,IBUF,IO_L16N_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
A14,Sl_rdDBus<126>,IOB,IO_L13N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A15,Sl_rdDBus<124>,IOB,IO_L12N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A16,Sl_rdDBus<123>,IOB,IO_L12P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A17,Sl_rdDBus<120>,IOB,IO_L10N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A18,VGA_VSYNC,IOB,IO_L05N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A19,Sl_rdDBus<112>,IOB,IO_L06N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A20,Sl_rdDBus<106>,IOB,IO_L03N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A21,,,TCK,,,,,,,,,,,,
A22,,,GND,,,,,,,,,,,,
AA1,,DIFFMLR,IO_L45P_3,UNUSED,,3,,,,,,,,,
AA2,,DIFFSLR,IO_L45N_3,UNUSED,,3,,,,,,,,,
